거래금액,거래유형,건축년도,전용면적,법정동,법정동코드,아파트,층,년,월,일,시도명,시군구명,동리명,lon,lat
13400,중개거래,2013,17.811, 숭인동,1111017500,종로중흥S클래스,14,2022,10,5,서울특별시,종로구,,127.019597569646,37.5745280159937
12350,중개거래,2014,15.09, 숭인동,1111017500,삼전솔하임4차,17,2022,10,10,서울특별시,종로구,,127.019597569646,37.5745280159937
13500,중개거래,2012,16.67, 숭인동,1111017500,삼전솔하임2차,5,2022,10,13,서울특별시,종로구,,127.019597569646,37.5745280159937
12500,중개거래,2014,15.09, 숭인동,1111017500,삼전솔하임4차,17,2022,10,13,서울특별시,종로구,,127.019597569646,37.5745280159937
185000,중개거래,2010,139.8, 회현동2가,1114012200,쌍용남산플래티넘,7,2022,10,21,서울특별시,중구,,126.982919122029,37.5587537703497
20000,중개거래,2020,14.54, 오장동,1114015400,오렌지카운티을지로,9,2022,10,19,서울특별시,중구,,127.000692708562,37.5649106130902
325000,중개거래,2008,201.85, 신당동,1114016200,남산FORESTHOUSE,1,2022,10,14,서울특별시,중구,,127.014442188261,37.5620157313145
15100,중개거래,2014,18.08, 신당동,1114016200,신당아르브,4,2022,10,24,서울특별시,중구,,127.014442188261,37.5620157313145
27500,중개거래,2016,23.42, 흥인동,1114016300,동대문솔하임,19,2022,10,7,서울특별시,중구,,127.016358403205,37.5672917152733
27500,중개거래,2016,23.42, 흥인동,1114016300,동대문솔하임,19,2022,10,7,서울특별시,중구,,127.016358403205,37.5672917152733
14000,중개거래,2014,15.55, 흥인동,1114016300,동대문와이즈캐슬,8,2022,10,14,서울특별시,중구,,127.016358403205,37.5672917152733
24000,중개거래,2014,22.07, 흥인동,1114016300,동대문와이즈캐슬,15,2022,10,20,서울특별시,중구,,127.016358403205,37.5672917152733
15500,중개거래,2014,15.97, 황학동,1114016500,DUO302,9,2022,10,7,서울특별시,중구,,127.021415848975,37.5674999372119
15000,중개거래,2014,15.97, 황학동,1114016500,DUO302,12,2022,10,19,서울특별시,중구,,127.021415848975,37.5674999372119
94500,중개거래,2008,84.89, 황학동,1114016500,롯데캐슬,26,2022,10,20,서울특별시,중구,,127.021415848975,37.5674999372119
48000,중개거래,2020,32.0134, 정동,1114016700,삼정아트테라스정동,2,2022,10,17,서울특별시,중구,,126.973133171996,37.5665870147753
107000,중개거래,1980,63.44, 후암동,1117010100,후암미주,2,2022,10,22,서울특별시,용산구,,126.978150463736,37.5486798277288
49500,중개거래,2003,65.3, 청파동3가,1117011100,한울글로리A,2,2022,10,5,서울특별시,용산구,,126.966972344614,37.5432460079142
18000,중개거래,2013,13.01, 문배동,1117012200,용산큐브,17,2022,10,18,서울특별시,용산구,,126.969405422634,37.5371018437134
160000,중개거래,2005,99.85, 한강로1가,1117012400,용산파크자이,6,2022,10,31,서울특별시,용산구,,126.973054361529,37.5339780623764
320000,중개거래,2002,137.37, 이촌동,1117012900,이촌동삼성리버스위트,6,2022,10,9,서울특별시,용산구,,126.972097769518,37.5141954312251
180000,중개거래,2000,84.98, 이촌동,1117012900,한강(대우),8,2022,10,29,서울특별시,용산구,,126.972097769518,37.5141954312251
