거래금액,거래유형,건축년도,년,대지면적,동리명,연면적,월,일,주택유형,중개사소재지,지번,법정동시군구코드,해제사유발생일,해제여부,시도명,시군구명,주소,법정동코드,법정동읍면동코드,lon,lat
64000,중개거래,1936,2022,49.6,창성동,19.83,10,15,단독,서울 종로구,9*,11110, , ,서울특별시,종로구,서울특별시 종로구 창성동,1111010500.0,10500.0,126.972462474485,37.580545072399
95000,중개거래,1970,2022,73.1,통의동,29.09,10,22,단독,서울 종로구,2*,11110, , ,서울특별시,종로구,서울특별시 종로구 통의동,1111010600.0,10600.0,126.972852824323,37.5780584194585
220000,중개거래,2013,2022,126.9,가회동,70.77,10,4,단독,"서울 서초구, 서울 종로구",3*,11110, , ,서울특별시,종로구,서울특별시 종로구 가회동,1111014600.0,14600.0,126.984784487479,37.5800968068428
115200,중개거래,1970,2022,105.8,계동,53.95,10,14,단독,서울 종로구,7*,11110, , ,서울특별시,종로구,서울특별시 종로구 계동,1111014800.0,14800.0,126.986903381874,37.5824324365828
16500,중개거래,1970,2022,23.1,계동,19.83,10,29,단독,서울 종로구,*,11110, , ,서울특별시,종로구,서울특별시 종로구 계동,1111014800.0,14800.0,126.986903381874,37.5824324365828
35000,중개거래,1959,2022,36.4,종로5가,52.9,10,20,단독,서울 종로구,4**,11110, , ,서울특별시,종로구,서울특별시 종로구 종로5가,1111016300.0,16300.0,127.003527196401,37.5706048556462
156000,중개거래,1960,2022,178.5,창신동,114.05,10,22,단독,서울 강남구,1**,11110, , ,서울특별시,종로구,서울특별시 종로구 창신동,1111017400.0,17400.0,127.012828195947,37.5752245135613
43500,중개거래,1970,2022,59.5,창신동,21.49,10,28,단독,서울 종로구,6**,11110, , ,서울특별시,종로구,서울특별시 종로구 창신동,1111017400.0,17400.0,127.012828195947,37.5752245135613
112000,중개거래,1965,2022,110.0,숭인동,56.1,10,18,단독,서울 성북구,4**,11110, , ,서울특별시,종로구,서울특별시 종로구 숭인동,1111017500.0,17500.0,127.019597569646,37.5745280159937
50000,중개거래,1938,2022,79.0,숭인동,29.75,10,18,단독,서울 성북구,4**,11110, , ,서울특별시,종로구,서울특별시 종로구 숭인동,1111017500.0,17500.0,127.019597569646,37.5745280159937
119500,중개거래,1989,2022,340.0,평창동,209.34,10,10,단독,서울 종로구,4**,11110, , ,서울특별시,종로구,서울특별시 종로구 평창동,1111018300.0,18300.0,126.968357810931,37.6063916960376
120000,중개거래,1989,2022,340.0,평창동,209.34,10,10,단독,서울 종로구,4**,11110,22.11.10,O,서울특별시,종로구,서울특별시 종로구 평창동,1111018300.0,18300.0,126.968357810931,37.6063916960376
175000,중개거래,1970,2022,317.0,평창동,325.8,10,26,단독,서울 서초구,4**,11110, , ,서울특별시,종로구,서울특별시 종로구 평창동,1111018300.0,18300.0,126.968357810931,37.6063916960376
240000,중개거래,1989,2022,526.0,부암동,199.6,10,22,단독,서울 종로구,3**,11110, , ,서울특별시,종로구,서울특별시 종로구 부암동,1111018400.0,18400.0,126.964061015983,37.5924142953538
96091,중개거래,1990,2022,63.1,광희동1가,54.55,10,25,단독,서울 중구,1**,11140, , ,서울특별시,중구,서울특별시 중구 광희동1가,1114014500.0,14500.0,127.006451724415,37.5652239855073
160000,중개거래,1945,2022,92.2,광희동1가,149.09,10,28,단독,서울 중구,1**,11140, , ,서울특별시,중구,서울특별시 중구 광희동1가,1114014500.0,14500.0,127.006451724415,37.5652239855073
120124,직거래,1964,2022,52.25,을지로3가,114.05,10,14,단독, ,1**,11140, , ,서울특별시,중구,서울특별시 중구 을지로3가,1114015500.0,15500.0,126.992696980394,37.5664564985185
132000,중개거래,1991,2022,120.7,후암동,190.62,10,6,다가구,서울 용산구,3**,11170, , ,서울특별시,용산구,서울특별시 용산구 후암동,1117010100.0,10100.0,126.978150463736,37.5486798277288
160000,중개거래,1987,2022,132.2,후암동,200.16,10,18,단독,서울 용산구,3**,11170, , ,서울특별시,용산구,서울특별시 용산구 후암동,1117010100.0,10100.0,126.978150463736,37.5486798277288
167000,중개거래,1996,2022,100.2,용산동2가,160.71,10,6,다가구,서울 용산구,*,11170, , ,서울특별시,용산구,서울특별시 용산구 용산동2가,1117010200.0,10200.0,126.982945593811,37.5419195197565
273000,중개거래,2006,2022,150.3,용산동2가,219.2,10,12,다가구,서울 용산구,4*,11170, , ,서울특별시,용산구,서울특별시 용산구 용산동2가,1117010200.0,10200.0,126.982945593811,37.5419195197565
487000,중개거래,1968,2022,246.9,용산동2가,326.31,10,13,단독,서울 용산구,*,11170, , ,서울특별시,용산구,서울특별시 용산구 용산동2가,1117010200.0,10200.0,126.982945593811,37.5419195197565
183500,중개거래,1983,2022,121.3,용산동2가,166.86,10,17,단독,서울 용산구,*,11170, , ,서울특별시,용산구,서울특별시 용산구 용산동2가,1117010200.0,10200.0,126.982945593811,37.5419195197565
90000,중개거래,1993,2022,59.2,효창동,142.76,10,8,다가구,"서울 마포구, 서울 용산구",*,11170, , ,서울특별시,용산구,서울특별시 용산구 효창동,1117011900.0,11900.0,126.9618988792,37.5424588083351
240000,중개거래,1974,2022,171.9,용문동,232.77,10,1,다가구,서울 용산구,3*,11170, , ,서울특별시,용산구,서울특별시 용산구 용문동,1117012100.0,12100.0,126.959891817892,37.537700864015
