시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일,법정동코드,시도명,시군구명,읍면동명
B10,서울특별시교육청,7031110,경기초등학교,Kyonggi Elementary School,초등학교,서울특별시,서울특별시서부교육지원청,사립,03746 ,서울특별시 서대문구 경기대로9길 10,(충정로2가/경기초등학교),02-363-2908,http://www.kyonggicho.es.kr,남여공학,02-3146-9581, ,N,일반계, ,전기,주간,19641203,19641203,20211216,1141010100,서울특별시,서대문구,충정로2가
B10,서울특별시교육청,7134077,경복초등학교,Kyungbok Elementary School,초등학교,서울특별시,서울특별시성동광진교육지원청,사립,04991 ,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동),02-2204-1200,http://www.kbes.kr,남여공학,02-454-5086, ,N,일반계, ,전기,주간,19650302,19650302,20211216,1121510200,서울특별시,광진구,능동
B10,서울특별시교육청,7021079,경희초등학교,Kyunghee Elementary School,초등학교,서울특별시,서울특별시동부교육지원청,사립,02447 ,서울특별시 동대문구 경희대로 26,/ 경희초등학교 (회기동/ 경희대학교),02-962-4300,http://www.kyunghee.es.kr,남여공학,02-967-2498, ,N,일반계, ,전기,주간,19610331,19610518,20211216,1123010800,서울특별시,동대문구,회기동
B10,서울특별시교육청,7091368,계성초등학교,Gyeseong Elementary School,초등학교,서울특별시,서울특별시강남서초교육지원청,사립,06504 ,서울특별시 서초구 신반포로19길 23,/ 계성초등학교 (반포동),02-590-5500,http://www.gyeseong1882.es.kr,남여공학,02-590-5555, ,N,일반계, ,전기,주간,18820908,18820908,20211216,1165010700,서울특별시,서초구,반포동
B10,서울특별시교육청,7121335,광운초등학교,Kwangwoon Elementary School,초등학교,서울특별시,서울특별시성북강북교육지원청,사립,02763 ,서울특별시 성북구 한천로 694,/ 광운초등학교 (장위동/ 광운초등학교),02-915-7312,http://kwangwoon.sen.es.kr,남여공학,02-915-7515, ,N,일반계, ,전기,주간,19651025,19651025,20211216,1129013800,서울특별시,성북구,장위동
B10,서울특별시교육청,7021080,금성초등학교,Kumsung Elementary school,초등학교,서울특별시,서울특별시동부교육지원청,사립,02028 ,서울특별시 중랑구 신내로21길 55,/ 금성초등학교 (신내동),02-3421-0500,http://www.kumsung.net,남여공학,02-3421-2700, ,N,일반계, ,전기,주간,19650607,19650626,20211216,1126010600,서울특별시,중랑구,신내동
B10,서울특별시교육청,7121336,대광초등학교,Daegwang Elementary School,초등학교,서울특별시,서울특별시성북강북교육지원청,사립,02859 ,서울특별시 성북구 안암로 5,(보문동7가/대광초등학교),02-923-2032,http://www.daegwang.or.kr,남여공학,02-922-6195, ,N,일반계, ,전기,주간,19651201,19660525,20211216,1129012900,서울특별시,성북구,보문동7가
B10,서울특별시교육청,7041099,동광초등학교,Dong Gwang Elementary School,초등학교,서울특별시,서울특별시남부교육지원청,사립,08656 ,서울특별시 금천구 탑골로10길 45,/ 동광초등학교 (시흥동),02-891-0151,http://donggwang.sen.es.kr ,남여공학,02-891-0153, ,N,일반계, ,전기,주간,20010301,20010305,20211216,1154510300,서울특별시,금천구,시흥동
B10,서울특별시교육청,7051109,동북초등학교,Dongbuk Elementary School,초등학교,서울특별시,서울특별시북부교육지원청,사립,01375 ,서울특별시 도봉구 시루봉로 53,/ 동북초등학교 (쌍문동),02-993-1233,http://dongbuk.es.kr,남여공학,02-996-8184, ,N,일반계, ,전기,주간,19640404,19640915,20211216,1132010500,서울특별시,도봉구,쌍문동
B10,서울특별시교육청,7061054,동산초등학교,Dongsan Elementary School,초등학교,서울특별시,서울특별시중부교육지원청,사립,04592 ,서울특별시 중구 매봉18길 109,/ 동산초등학교 (신당동),02-2252-7654,http://seoul-dongsan.es.kr,남여공학,02-2252-6558, ,N,일반계, ,전기,주간,19660310,19660310,20211216,1114016200,서울특별시,중구,신당동
B10,서울특별시교육청,7061055,리라초등학교,Lila Elementary School,초등학교,서울특별시,서울특별시중부교육지원청,사립,04628 ,서울특별시 중구 소파로2길 7,(예장동),02-777-7461,http://www.lila.es.kr,남여공학,02-774-2900, ,N,일반계, ,전기,주간,19650520,19650520,20211216,1114014200,서울특별시,중구,예장동
B10,서울특별시교육청,7121337,매원초등학교,Maewon Elementary School,초등학교,서울특별시,서울특별시성북강북교육지원청,사립,02828 ,서울특별시 성북구 북악산로 870,(돈암동),02-922-6052,http://www.maewon.es.kr,남여공학,02-921-1105, ,N,일반계, ,전기,주간,19631205,19640309,20211216,1129010300,서울특별시,성북구,돈암동
B10,서울특별시교육청,7031111,명지초등학교,Myongji Elementary School,초등학교,서울특별시,서울특별시서부교육지원청,사립,03656 ,서울특별시 서대문구 명지2길 32-20,(홍은동),02-372-2872,http://www.myongji.net,남여공학,02-375-6996, ,N,일반계, ,전기,주간,19670315,19670315,20211216,1141011800,서울특별시,서대문구,홍은동
B10,서울특별시교육청,7061056,상명대학교사범대학부속초등학교,Attached Elementary School College Of Education Sangmyung University,초등학교,서울특별시,서울특별시중부교육지원청,사립,03015 ,서울특별시 종로구 홍지문2길 1,/ 상명사대부속초등학교 (홍지동),02-379-8033,http://sangmyung-ae.sen.es.kr,남여공학,02-379-2057, ,N,일반계, ,전기,주간,19660312,19660517,20211216,1111018500,서울특별시,종로구,홍지동
B10,서울특별시교육청,7051110,상명초등학교,Sangmyeong Elementary School,초등학교,서울특별시,서울특별시북부교육지원청,사립,01758 ,서울특별시 노원구 덕릉로 541,/ 상명초등학교 (중계동),02-3788-3300,http://www.smcho.es.kr,남여공학,02-976-2785, ,N,일반계, ,전기,주간,19640206,19640206,20211216,1135010600,서울특별시,노원구,중계동
B10,서울특별시교육청,7081418,서울가곡초등학교,Seoul Gagok Elementary School,초등학교,서울특별시,서울특별시강서양천교육지원청,공립,07633 ,서울특별시 강서구 공항대로36길 74,(내발산동/가곡초등학교),02-2661-5995,http://gagok.sen.es.kr,남여공학,02-2663-5284, ,N,일반계, ,전기,주간,19920715,19930413,20211216,1150010500,서울특별시,강서구,마곡동
B10,서울특별시교육청,7130101,서울가동초등학교,Seoul Gadong Elementary School,초등학교,서울특별시,서울특별시강동송파교육지원청,공립,05820 ,서울특별시 송파구 중대로20길 47,(가락동),02-448-5766,http://gadong.es.kr,남여공학,02-448-4459, ,N,일반계, ,전기,주간,19900425,19900425,20211216,1171010700,서울특별시,송파구,가락동
B10,서울특별시교육청,7130102,서울가락초등학교,Seoul Garak Elementary School,초등학교,서울특별시,서울특별시강동송파교육지원청,공립,05698 ,서울특별시 송파구 송파대로37길 45,(가락동/ 가락초등학교),02-3402-1161,https://garak.sen.es.kr/,남여공학,02-3402-1145, ,N,일반계, ,전기,주간,19810909,19810909,20211216,1171010700,서울특별시,송파구,가락동
B10,서울특별시교육청,7041100,서울가산초등학교,Seoul Gasan Elementary School,초등학교,서울특별시,서울특별시남부교육지원청,공립,08530 ,서울특별시 금천구 남부순환로 1304-11,/ 서울가산초등학교 (독산동),02-864-3206,www.gasan.es.kr,남여공학,02-859-5556, ,N,일반계, ,전기,주간,19830625,19840614,20211216,1154510100,서울특별시,금천구,가산동
B10,서울특별시교육청,7081419,서울가양초등학교,Seoul Gayang Elementary School,초등학교,서울특별시,서울특별시강서양천교육지원청,공립,07533 ,서울 강서구 허준로 186,/ (가양동/가양초등학교),02-2668-2101,http://www.kayang.es.kr,남여공학,02-2668-2105, ,N,일반계, ,전기,주간,19920715,19920715,20211216,1150010400,서울특별시,강서구,가양동
B10,서울특별시교육청,7130103,서울가원초등학교,Seoul Gawon Elementary School,초등학교,서울특별시,서울특별시강동송파교육지원청,공립,05834 ,서울특별시 송파구 중대로4길 8,(문정동/ 가원초등학교),02-405-4555,http://www.gawon.es.kr,남여공학,02-448-0188, ,N,일반계, ,전기,주간,19881208,19890420,20211216,1171010800,서울특별시,송파구,문정동
B10,서울특별시교육청,7051111,서울가인초등학교,Seoul Gain Elementary School,초등학교,서울특별시,서울특별시북부교육지원청,공립,01397 ,서울특별시 도봉구 도봉로136다길 4,(창동/가인초등학교),02-997-5826,http://www.seoulgain.es.kr,남여공학,02-997-5829, ,N,해당없음, ,전기,주간,20031230,20040514,20211216,1132010700,서울특별시,도봉구,창동
B10,서울특별시교육청,7031278,서울가재울초등학교,Seoul Gajaeul Elementary School,초등학교,서울특별시,서울특별시서부교육지원청,공립,03711 ,서울특별시 서대문구 모래내로15길 61,(남가좌동),02-300-8600,http://www.gajaeul.es.kr,남여공학,02-300-8699, ,N,해당없음, ,후기,주간,20160301,20160501,20211216,1141012000,서울특별시,서대문구,남가좌동
B10,서울특별시교육청,7130104,서울가주초등학교,Seoul Gaju Elementary School,초등학교,서울특별시,서울특별시강동송파교육지원청,공립,05823 ,서울특별시 송파구 오금로40길 37,/ 서울가주초등학교 (가락동/ 가주초등학교),02-3401-0443,http://www.gaju.es.kr,남여공학,02-402-7623, ,N,일반계, ,전기,주간,19960810,19961108,20211216,1171010700,서울특별시,송파구,가락동
B10,서울특별시교육청,7081420,서울갈산초등학교,Seoul Galsan Elementary School,초등학교,서울특별시,서울특별시강서양천교육지원청,공립,08100 ,서울특별시 양천구 목동로 31,/ 서울갈산초등학교 (신정동),02-2649-7232,http://www.galsan1.es.kr,남여공학,02-2651-9881, ,N,일반계, ,전기,주간,19870909,19871126,20211216,1147010100,서울특별시,양천구,신정동
